id,name
1,8/7 MATH (GRADE 5)
2,ADVANCED JAVA & MACHINE LEARNING
3,ALGEBRA 1
4,ALGEBRA 1/2
5,ALGEBRA 2
6,AP / COLLEGE LEVEL ENVIRON SCI
7,AP BIOLOGY
8,AP CALCULUS AB
9,AP CALCULUS BC
10,AP CHEMISTRY
11,AP COMP SCI A
12,AP COMP SCI PRINC
13,AP ECON
14,AP EURO HISTORY
15,AP FRENCH
16,AP LANG
17,AP LIT
18,AP MANDARIN
19,AP PHYSICS 1
20,AP PHYSICS 2
21,AP PHYSICS C
22,AP PSYCH
23,AP RESEARCH
24,AP SEMINAR
25,AP SPANISH/SPAN. IV
26,AP STATISTICS
27,AP STUDIO ART 2D DESIGN
28,AP US GOVT & POLITICS
29,AP US HISTORY
30,AP WORLD HISTORY MODERN
31,ART STUDIO 2D
32,AUDIO & MUSIC PRODUC
33,BAND 6/7
34,BIO OF CANCER
35,BIOLOGY
36,BIOTECHNOLOGY
37,CHEMISTRY
38,CLASSICS
39,COMPUTER SCIENCE 6
40,COMPUTER SCIENCE 7
41,CORPORATE FINANCE
42,CREATIVE WRITING 6/7
43,CRIME AND PUNISHMENT
44,DIFFERENTIAL EQUATIONS
45,DIGITAL ART
46,DIGITAL PHOTOGRAPHY
47,DRAMA 5
48,DRAMA 6
49,ECONOMETRIC
50,EMPOWERING ENTREPRENEURS
51,ENGINEERING AND TECH
52,ENGLISH
53,EXISTENTIALISM AND THE ABSURD
54,FILM STUDIES
55,FRENCH IA
56,FRENCH IB
57,FRENCH II
58,FRENCH III/ PRE AP
59,FRENCH IV
60,GAME THEORY AND BEHAVIORAL ECON
61,GAME THEORY BEHAVIORAL ECON
62,GUITAR
63,HEALTH
64,HONORS BIOLOGY
65,HONORS CHEMISTRY
66,HONORS ENGLISH 10
67,HONORS LANG
68,HONORS LIT
69,HONORS PHYSICS
70,INDUSTRIAL CHEMISTRY
71,INORGANIC CHEMISTRY
72,INTRO TO BUSINESS
73,INTRO TO ENGINEERING & TECH
74,INTRO TO PHILOSOPHY
75,INTRO TO PROGRAMMING
76,INTRO TO SCIENCE
77,LATIN
78,LATIN II A
79,LATIN II B
80,LATIN III
81,LATIN IV
82,LATIN V /AP LATIN
83,LINEAR ALGEBRA
84,LOGIC
85,MANDARIN IA
86,MANDARIN IB
87,MANDARIN II
88,MANDARIN III
89,MANDARIN IV
90,MULTIVARIABLE CALCULUS
91,MUSIC
92,NEUROSCIENCE
93,PE
94,PHOTOJOURNALISM
95,PHYSICAL GEOGRAPHY
96,PHYSICS
97,PRE-CALCULUS
98,RHETORIC & COMMS
99,RISE UP FOR SOCIAL JUSTICE
100,SPANISH IA
101,SPANISH IB
102,SPANISH II
103,SPANISH III
104,STAGECRAFT
105,TOPICS IN MODERN PHYSICS
106,US HISTORY I
107,VISUAL ART 5
108,VISUAL ART 7
109,VISUAL ARTS 6
110,WORLD HISTORY & GEOGRAPHY I
111,WORLD HISTORY & GEOGRAPHY II
